Run, SubRun, Event
14.3737 , -4.25261 , 72.1265
14.3937 , -4.27901 , 72.5928
14.4498 , -4.3147 , 73.0671
14.5087 , -4.35213 , 73.5647
14.5662 , -4.38869 , 74.0505
14.6228 , -4.42469 , 74.529
14.6792 , -4.46055 , 75.0056
14.7379 , -4.49786 , 75.5014
14.7949 , -4.53414 , 75.9836
14.8517 , -4.57022 , 76.4632
14.9083 , -4.60624 , 76.9419
14.967 , -4.64357 , 77.438
15.0239 , -4.67979 , 77.9193
15.0811 , -4.71614 , 78.4025
15.1411 , -4.76235 , 78.8835
15.2052 , -4.81616 , 79.3821
15.2685 , -4.86943 , 79.8757
15.3906 , -4.97195 , 80.8257
15.4577 , -5.02837 , 81.3486
15.5225 , -5.08279 , 81.8528
15.5849 , -5.13522 , 82.3386
15.6468 , -5.1873 , 82.8213
15.7111 , -5.24126 , 83.3213
15.7748 , -5.29482 , 83.8176
15.8382 , -5.34867 , 84.3114
15.9004 , -5.40813 , 84.8017
15.9635 , -5.46841 , 85.2988
16.0273 , -5.5294 , 85.8017
16.0901 , -5.58934 , 86.296
16.1512 , -5.64773 , 86.7774
16.2138 , -5.70756 , 87.2707
16.2795 , -5.77032 , 87.7882
16.3428 , -5.83075 , 88.2865
16.4046 , -5.88977 , 88.7732
16.4696 , -5.95187 , 89.2852

Run, SubRun, Event
6261 , 20 , 896

28.8504 , 4.62126 , 0.484298
28.8084 , 4.6271 , 0.945026
28.7661 , 4.63298 , 1.41019
28.7242 , 4.63881 , 1.87067
28.6826 , 4.64461 , 2.3288
28.6407 , 4.65044 , 2.78893
28.5989 , 4.65625 , 3.24782
28.5576 , 4.662 , 3.70232
28.5162 , 4.66777 , 4.15774
28.4761 , 4.67368 , 4.61442
28.4421 , 4.68016 , 5.07279
28.4079 , 4.68665 , 5.53173
28.3735 , 4.6932 , 5.9955
28.3396 , 4.69965 , 6.45174
28.3054 , 4.70614 , 6.91115
28.272 , 4.7125 , 7.36126
28.2377 , 4.71901 , 7.82202
28.2034 , 4.72553 , 8.28361
28.1695 , 4.73197 , 8.73935
28.1415 , 4.73991 , 9.2029
28.1149 , 4.74793 , 9.65953
28.0883 , 4.75591 , 10.1143
28.0616 , 4.76394 , 10.5719
28.0348 , 4.772 , 11.0311
28.0086 , 4.7799 , 11.4808
27.9818 , 4.78794 , 11.9391
27.9546 , 4.7961 , 12.4042
27.928 , 4.8041 , 12.86
27.904 , 4.81299 , 13.3112
27.8808 , 4.82248 , 13.7688
27.8576 , 4.83193 , 14.2249
27.8345 , 4.84139 , 14.6809
27.8111 , 4.85095 , 15.1422
27.7879 , 4.86039 , 15.5977
27.7649 , 4.86981 , 16.0517
27.7416 , 4.8793 , 16.5095
27.7185 , 4.88874 , 16.9648
27.698 , 4.89726 , 17.42
27.6809 , 4.90453 , 17.8776
27.6637 , 4.91186 , 18.3393
27.6466 , 4.91912 , 18.7962
27.6295 , 4.92639 , 19.2539
27.6126 , 4.93359 , 19.7072
27.5954 , 4.9409 , 20.1672
27.5784 , 4.94816 , 20.6243
27.5612 , 4.95546 , 21.0836
27.5422 , 4.96144 , 21.5382
27.5148 , 4.96263 , 22.0039
27.4877 , 4.96381 , 22.4655
27.4606 , 4.96499 , 22.9257
27.4338 , 4.96616 , 23.3829
27.4064 , 4.96735 , 23.8474
27.3795 , 4.96852 , 24.3058
27.3523 , 4.96971 , 24.7684
27.3249 , 4.9709 , 25.2338
27.2976 , 4.97051 , 25.694
27.2697 , 4.9669 , 26.1575
